Tag URL,line1,line2
https://www.rekhta.org/tags/aadmi-shayari/couplets,har aadmi mein hote hain das bis aadmi,jis ko bhi dekhna ho kai bar dekhna
https://www.rekhta.org/tags/aadmi-shayari/couplets,yahāñ libās kī qīmat hai aadmī kī nahīñ,mujhe gilās baḌe de sharāb kam kar de
https://www.rekhta.org/tags/aadmi-shayari/couplets,yahan libas ki qimat hai aadmi ki nahin,mujhe gilas baDe de sharab kam kar de
https://www.rekhta.org/tags/aadmi-shayari/couplets,isī liye to yahāñ ab bhī ajnabī huuñ maiñ,tamām log farishte haiñ aadmī huuñ maiñ
https://www.rekhta.org/tags/aadmi-shayari/couplets,isi liye to yahan ab bhi ajnabi hun main,tamam log farishte hain aadmi hun main
https://www.rekhta.org/tags/aadmi-shayari/couplets,vo kaun thā jo din ke ujāle meñ kho gayā,ye chāñd kis ko DhūñDne niklā hai shaam se
https://www.rekhta.org/tags/aadmi-shayari/couplets,wo kaun tha jo din ke ujale mein kho gaya,ye chand kis ko DhunDne nikla hai sham se
https://www.rekhta.org/tags/aadmi-shayari/couplets,ittifāq apnī jagah ḳhush-qismatī apnī jagah,ḳhud banātā hai jahāñ meñ aadmī apnī jagah
https://www.rekhta.org/tags/aadmi-shayari/couplets,ittifaq apni jagah KHush-qismati apni jagah,KHud banata hai jahan mein aadmi apni jagah
https://www.rekhta.org/tags/aadmi-shayari/couplets,'zafar' aadmī us ko na jāniyegā vo ho kaisā hī sāhab-e-fahm-o-zakā,jise aish meñ yād-e-ḳhudā na rahī jise taish meñ ḳhauf-e-ḳhudā na rahā
https://www.rekhta.org/tags/aadmi-shayari/couplets,'zafar' aadmi us ko na jaaniyega wo ho kaisa hi sahab-e-fahm-o-zaka,jise aish mein yaad-e-KHuda na rahi jise taish mein KHauf-e-KHuda na raha
https://www.rekhta.org/tags/aadmi-shayari/couplets,merī rusvā.ī ke asbāb haiñ mere andar,aadmī huuñ so bahut ḳhvāb haiñ mere andar
https://www.rekhta.org/tags/aadmi-shayari/couplets,meri ruswai ke asbab hain mere andar,aadmi hun so bahut KHwab hain mere andar
https://www.rekhta.org/tags/aadmi-shayari/couplets,aadmī aadmī se miltā hai,dil magar kam kisī se miltā hai
https://www.rekhta.org/tags/aadmi-shayari/couplets,aadmi aadmi se milta hai,dil magar kam kisi se milta hai
https://www.rekhta.org/tags/aadmi-shayari/couplets,samjhegā aadmī ko vahāñ kaun aadmī,banda jahāñ ḳhudā ko ḳhudā māntā nahīñ
https://www.rekhta.org/tags/aadmi-shayari/couplets,samjhega aadmi ko wahan kaun aadmi,banda jahan KHuda ko KHuda manta nahin
https://www.rekhta.org/tags/aadmi-shayari/couplets,girjā meñ mandiroñ meñ azānoñ meñ baT gayā,hote hī sub.h aadmī ḳhānoñ meñ baT gayā
https://www.rekhta.org/tags/aadmi-shayari/couplets,girja mein mandiron mein azanon mein baT gaya,hote hi subh aadmi KHanon mein baT gaya
https://www.rekhta.org/tags/aadmi-shayari/couplets,sab se pur-amn vāqi.a ye hai,aadmī aadmī ko bhuul gayā
https://www.rekhta.org/tags/aadmi-shayari/couplets,sab se pur-amn waqia ye hai,aadmi aadmi ko bhul gaya
https://www.rekhta.org/tags/aadmi-shayari/couplets,raah meñ baiThā huuñ maiñ tum sañg-e-rah samjho mujhe,aadmī ban jā.ūñgā kuchh Thokareñ khāne ke ba.ad
